"id","titulo","ano","issn","titulo_serie","editora","autor","url"
9780953194971,"Bioactive Lipids",2004,,"Oily Press Lipid Library Series","Oily Press","Nicolaou, A","http://www.sciencedirect.com/science/book/9780953194971"
9780953194988,"Lipid Oxidation",2005,,"Oily Press Lipid Library Series","Oily Press","Frankel, E N","http://www.sciencedirect.com/science/book/9780953194988"
9780953194995,"Lipids",2006,,"Oily Press Lipid Library Series","Oily Press","Larsson, K.","http://www.sciencedirect.com/science/book/9780953194995"
9780953194926,"Lipid Glossary 2",2000,,"Oily Press Lipid Library Series","Oily Press","Gunstone, F. D.","http://www.sciencedirect.com/science/book/9780953194926"
9780953194940,"Confectionery Fats Handbook",2003,,"Oily Press Lipid Library Series","Oily Press","Timms, R E","http://www.sciencedirect.com/science/book/9780953194940"
9780953194964,"Advances in Lipid Methodology",2003,,"Oily Press Lipid Library Series","Oily Press","Adlof, R O","http://www.sciencedirect.com/science/book/9780953194964"
9780953194933,"Lipids for Functional Foods and Nutraceuticals",2003,,"Oily Press Lipid Library Series","Oily Press","Gunstone, F. D.","http://www.sciencedirect.com/science/book/9780953194933"
9780953194919,"Lipids in Nutrition and Health",1999,,"Oily Press Lipid Library Series","Oily Press","Gurr, M I","http://www.sciencedirect.com/science/book/9780953194919"
9780951417164,"Advances in Lipid Methodology",1996,,"Oily Press Lipid Library Series","Oily Press","Christie, W. W.","http://www.sciencedirect.com/science/book/9780951417164"
9780951417171,"Advances in Lipid Methodology",1997,,"Oily Press Lipid Library Series","Oily Press","Christie, W. W.","http://www.sciencedirect.com/science/book/9780951417171"
9781845690502,"Meat Products Handbook",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Feiner, G","http://www.sciencedirect.com/science/book/9781845690502"
9781845690519,"Benders’ Dictionary of Nutrition and Food Technology",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Bender, D A","http://www.sciencedirect.com/science/book/9781845690519"
9781845691592,"Lawrie’s Meat Science",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Lawrie, R. A.","http://www.sciencedirect.com/science/book/9781845691592"
9781845690083,"Optimising Sweet Taste in Foods",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Spillane, W J","http://www.sciencedirect.com/science/book/9781845690083"
9781845690038,"Brewing",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Bamforth, C","http://www.sciencedirect.com/science/book/9781845690038"
9781845690120,"Food Consumption and Disease Risk",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Potter, M.","http://www.sciencedirect.com/science/book/9781845690120"
9781845697228,"Food Product Development",2001,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Earle, M","http://www.sciencedirect.com/science/book/9781845697228"
9781845694791,"Using Cereal Science and Technology for the Benefit of Consumers",2005,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Cauvain, S P","http://www.sciencedirect.com/science/book/9781845694791"
9781845690175,"Handbook of Herbs and Spices",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Peter, K V","http://www.sciencedirect.com/science/book/9781845690175"
9781855735002,"The Stability and Shelf-Life of Food",2000,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Kilcast, D","http://www.sciencedirect.com/science/book/9781855735002"
9781855734623,"Food Chemical Safety",2001,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Watson, D","http://www.sciencedirect.com/science/book/9781855734623"
9781855735033,"Functional Foods",2000,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Gibson, G R","http://www.sciencedirect.com/science/book/9781855735033"
9781855736696,"Natural Antimicrobials for the Minimal Processing of Foods",2003,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Roller, S","http://www.sciencedirect.com/science/book/9781855736696"
9781845690113,"Acrylamide and Other Hazardous Compounds in Heat-Treated Foods",2006,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Skog, K","http://www.sciencedirect.com/science/book/9781845690113"
9781855734661,"Hygiene in Food Processing",2003,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Lelieveld, H L M","http://www.sciencedirect.com/science/book/9781855734661"
9781855732995,"Handbook of Indices of Food Quality and Authenticity",1997,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Singhal, R S","http://www.sciencedirect.com/science/book/9781855732995"
9781855732728,"Physical Properties of Foods and Food Processing Systems",1990,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Lewis, M J","http://www.sciencedirect.com/science/book/9781855732728"
